Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price_Clean,Region_Type,Make_Origin,Car_Age
Mercedes,G,2021,Gulf Arabic,Black,Full,5.0,Gas,Automatic,Used,5000,Riyadh,4723050000.0,Urban,Europe,3
Bentley,Bentayga,2019,Saudi,Another Color,Full,6.0,Gas,Automatic,Used,13000,Dammam,3490950000.0,Urban,Europe,5
Mercedes,G,2019,Saudi,Grey,Full,5.0,Gas,Automatic,Used,60000,Riyadh,3429345000.0,Urban,Europe,5
Mercedes,G,2019,Other,Black,Full,4.0,Gas,Automatic,Used,39000,Riyadh,3285600000.0,Urban,Europe,5
Bentley,Arnage,2020,Saudi,Black,Standard,1.0,Gas,Automatic,Used,300,Jeddah,3172657500.0,Urban,Europe,4
Bentley,Bentayga,2018,Saudi,White,Full,6.0,Gas,Automatic,Used,26000,Riyadh,3080250000.0,Urban,Europe,6
Bentley,Bentayga,2018,Saudi,Black,Full,6.0,Gas,Automatic,Used,20000,Jeddah,3080250000.0,Urban,Europe,6
Mercedes,S,2021,Gulf Arabic,Black,Full,3.0,Gas,Automatic,Used,2500,Dammam,3072036000.0,Urban,Europe,3
Rolls-Royce,Ghost,2013,Gulf Arabic,White,Full,6.0,Gas,Automatic,Used,24000,Riyadh,2874900000.0,Urban,Europe,11
Land Rover,Range Rover,2020,Saudi,Black,Full,5.0,Gas,Automatic,Used,100,Dammam,2874900000.0,Urban,Europe,4
Mercedes,S,2021,Other,Black,Full,3.5,Gas,Automatic,Used,476,Riyadh,2858472000.0,Urban,Europe,3
Rolls-Royce,Ghost,2016,Saudi,Red,Full,6.0,Gas,Automatic,Used,40000,Dammam,2546340000.0,Urban,Europe,8
Land Rover,Range Rover,2020,Other,Black,Full,5.0,Gas,Automatic,Used,19000,Dammam,2505270000.0,Urban,Europe,4
Land Rover,Range Rover,2019,Other,Grey,Full,4.0,Gas,Automatic,Used,4200,Riyadh,2460093000.0,Urban,Europe,5
Land Rover,Range Rover,2020,Saudi,Black,Full,5.0,Gas,Automatic,Used,26000,Riyadh,2361525000.0,Urban,Europe,4
Aston Martin,Vantage,2012,Saudi,Blue,Full,6.0,Gas,Manual,Used,880,Dammam,2258850000.0,Urban,Europe,12
Land Rover,Range Rover,2020,Gulf Arabic,Golden,Full,4.0,Diesel,Automatic,Used,36000,Riyadh,2217780000.0,Urban,Europe,4
Land Rover,Range Rover,2019,Saudi,Black,Full,5.6,Gas,Automatic,Used,36000,Riyadh,2135640000.0,Urban,Europe,5
Land Rover,Range Rover,2020,Saudi,Black,Full,3.0,Gas,Automatic,Used,11500,Riyadh,2094570000.0,Urban,Europe,4
Lexus,LX,2021,Saudi,Oily,Full,5.7,Gas,Automatic,Used,1700,Riyadh,2045286000.0,Urban,Japan,3
Mercedes,S,2019,Gulf Arabic,Black,Full,3.6,Gas,Automatic,Used,6000,Riyadh,1930290000.0,Urban,Europe,5
Land Rover,Range Rover,2018,Gulf Arabic,White,Full,5.0,Gas,Automatic,Used,79858,Riyadh,1930290000.0,Urban,Europe,6
Lexus,LX,2020,Saudi,White,Full,5.7,Gas,Automatic,Used,30000,Dammam,1922076000.0,Urban,Japan,4
BMW,X,2020,Gulf Arabic,Oily,Full,3.0,Gas,Automatic,Used,2300,Dammam,1909755000.0,Urban,Europe,4
Lexus,LX,2021,Saudi,White,Full,5.7,Gas,Automatic,Used,4500,Al-Medina,1891273500.0,Urban,Japan,3
Lexus,LX,2021,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,9100,Dammam,1885113000.0,Urban,Japan,3
Lexus,LX,2020,Gulf Arabic,White,Full,5.7,Gas,Automatic,Used,455000,Riyadh,1868685000.0,Urban,Japan,4
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,38000,Dammam,1848150000.0,Urban,Japan,4
Land Rover,Range Rover,2019,Other,Black,Full,4.0,Gas,Automatic,Used,28000,Riyadh,1848150000.0,Urban,Europe,5
Land Rover,Defender,2021,Saudi,Black,Full,3.0,Gas,Automatic,Used,100,Jeddah,1848150000.0,Urban,Europe,3
BMW,The 7,2021,Saudi,White,Full,2.0,Gas,Automatic,Used,2000,Makkah,1848150000.0,Urban,Europe,3
Lexus,LX,2021,Saudi,White,Full,5.7,Gas,Automatic,Used,14000,Dammam,1827615000.0,Urban,Japan,3
Land Rover,Range Rover,2020,Gulf Arabic,White,Full,4.0,Gas,Automatic,Used,65000,Riyadh,1786545000.0,Urban,Europe,4
Lexus,LX,2020,Gulf Arabic,Silver,Full,5.7,Gas,Automatic,Used,12794,Riyadh,1772170500.0,Urban,Japan,4
Lexus,LX,2020,Gulf Arabic,Grey,Full,5.7,Gas,Automatic,Used,12000,Riyadh,1766010000.0,Urban,Japan,4
Land Rover,Range Rover,2020,Saudi,Black,Standard,3.0,Gas,Automatic,Used,17000,Riyadh,1757796000.0,Urban,Europe,4
Lexus,LX,2020,Gulf Arabic,White,Full,5.7,Gas,Automatic,Used,105,Riyadh,1745475000.0,Urban,Japan,4
Lexus,LX,2020,Saudi,White,Full,5.7,Gas,Automatic,Used,10000,Jeddah,1745475000.0,Urban,Japan,4
Lexus,LX,2020,Gulf Arabic,Bronze,Full,5.7,Gas,Automatic,Used,9000,Dammam,1737261000.0,Urban,Japan,4
